date,Very dry,Very wet,Median,2021 to date
1900-02-18,49.089999999999996,278.28,123.80000000000001,104.60000000000001
1900-02-19,51.74000000000001,280.82,135.29999999999998,113.60000000000001
1900-02-20,58.69,281.1700000000001,141.1,113.60000000000001
1900-02-21,58.75,290.01,151.8,120.60000000000001
1900-02-22,58.75,290.21,152.4,120.80000000000001
1900-02-23,59.03,290.28,165.0,120.80000000000001
1900-02-24,61.370000000000005,290.3,165.25,120.80000000000001
1900-02-25,62.14,294.46,166.79999999999998,127.00000000000001
1900-02-26,69.68,294.46,166.79999999999998,127.00000000000001
1900-02-27,69.9,295.2699999999999,167.09999999999997,127.00000000000001
1900-02-28,71.62,302.6499999999999,168.0,127.00000000000001
1900-03-01,72.16,302.6499999999999,169.9,127.00000000000001
1900-03-02,80.66,302.6499999999999,172.25,127.00000000000001
1900-03-03,87.09,308.50000000000006,174.14999999999998,127.00000000000001
1900-03-04,87.09,316.63500000000005,179.15,127.00000000000001
1900-03-05,87.09,317.43500000000006,181.55,127.00000000000001
1900-03-06,87.09,317.43500000000006,189.64999999999998,127.00000000000001
1900-03-07,87.09,321.845,191.75,127.00000000000001
1900-03-08,87.97,329.91999999999996,197.05,127.00000000000001
1900-03-09,95.62,357.20000000000005,203.09999999999997,127.00000000000001
1900-03-10,95.62,358.3500000000001,203.40000000000003,127.00000000000001
1900-03-11,95.75,358.3500000000001,208.10000000000002,127.00000000000001
1900-03-12,95.75,358.3500000000001,209.90000000000003,127.00000000000001
1900-03-13,95.75,358.3500000000001,214.0,145.0
1900-03-14,95.75,358.3500000000001,220.05,147.4
1900-03-15,95.75,358.3500000000001,220.05,185.8
1900-03-16,98.81,358.3500000000001,220.55,186.0
1900-03-17,110.43,358.4000000000001,224.54999999999998,194.2
1900-03-18,111.19,358.5300000000001,224.64999999999998,209.79999999999998
1900-03-19,116.10000000000001,358.5300000000001,226.64999999999998,236.39999999999998
1900-03-20,116.10000000000001,374.92500000000007,226.64999999999998,323.2
1900-03-21,116.50000000000001,374.92500000000007,226.64999999999998,331.59999999999997
1900-03-22,122.36,386.12500000000006,229.14999999999998,366.79999999999995
1900-03-23,125.14999999999999,387.7250000000001,229.25,398.59999999999997
